timestamp,latitude,longitude,altitude_m,CO2_ppm,PM2.5,NOx_ppb,SO2_ppb,O3_ppb,temperature_C,humidity_%,wind_speed_mps,rainfall_mm,emission_level
2022-11-05 19:10:09,37.768600970287146,-122.4303059606788,109.65,376.95,44.76,7.99,7.19,40.6,32.52,67.61,1.47,2.76,Medium
2024-08-05 07:41:48,37.777951534406675,-122.41513139814468,109.69,404.6,36.2,19.28,10.34,70.39,25.98,38.01,3.68,2.41,Medium
2024-10-09 02:51:24,37.78944072562452,-122.40248159072806,112.6,413.1,45.09,19.69,6.67,45.83,36.25,48.65,5.99,0.5,Medium
2024-08-01 16:28:42,37.78019057151678,-122.43887622173646,126.45,393.28,21.72,40.59,8.18,45.14,22.2,84.39,2.45,0.57,Medium
2024-08-19 17:00:13,37.783462367991596,-122.4182940907942,117.41,399.4,28.23,-8.55,6.93,47.38,24.69,39.15,7.66,0.82,Medium
2022-02-28 00:22:54,37.76114610389465,-122.4107611108461,126.12,418.04,21.45,15.8,9.47,32.78,19.99,48.37,7.36,2.57,Medium
2022-04-20 04:53:20,37.77115569233094,-122.42644039755572,86.08,417.82,51.36,26.16,8.99,53.7,32.08,85.08,6.44,1.01,Medium
2021-03-23 22:11:19,37.77986595631397,-122.42302353391234,118.64,356.16,28.46,27.77,7.91,41.64,18.45,49.78,5.65,1.9,Low
2020-06-22 10:45:03,37.760191048445016,-122.40337710795055,128.39,433.65,46.4,24.32,12.04,46.27,27.96,38.69,4.35,1.49,High
2023-07-21 09:21:20,37.76544735210539,-122.42874006426516,131.25,417.79,19.01,42.09,7.35,41.77,33.42,58.21,3.86,2.88,Medium
2020-03-21 03:50:25,37.75762998821416,-122.40591684037187,110.6,428.58,37.77,23.46,9.62,46.33,25.93,87.47,1.78,1.45,Medium
2021-04-15 19:18:34,37.7885611864124,-122.40554368602741,146.87,409.36,22.41,3.05,6.95,34.54,32.1,67.91,4.87,0.23,Medium
2021-05-12 11:50:29,37.75511015274234,-122.43527625015945,102.02,355.49,42.96,28.08,5.39,45.45,37.16,76.71,6.57,2.28,Medium
2024-06-16 05:07:24,37.791034552505444,-122.4135334032353,128.52,403.62,30.41,20.83,6.4,25.48,20.41,75.21,2.33,0.35,Medium
2022-07-18 19:38:34,37.767664018929736,-122.40624338103397,82.59,393.01,18.14,24.01,4.87,57.78,32.5,38.59,3.5,1.62,Medium
2024-06-25 12:17:32,37.79033910992945,-122.41476547247271,96.31,417.83,35.56,29.79,5.95,39.9,30.55,83.05,9.85,2.3,Medium
2020-07-20 04:00:29,37.755033854481724,-122.42070756933849,100.79,337.88,40.45,25.95,3.23,51.37,36.21,37.48,1.54,1.17,Medium
2023-12-27 04:36:42,37.77844216915893,-122.4001067793968,141.89,420.79,37.49,18.81,6.02,40.24,34.61,41.62,0.95,1.15,Medium
2020-01-26 02:55:05,37.7869307874852,-122.41420888308015,95.14,414.93,65.02,23.76,2.9,46.77,28.3,62.02,9.97,2.69,High
2022-06-13 23:46:24,37.77861759739367,-122.41619655168648,86.4,390.94,42.01,24.35,11.25,36.49,26.17,55.5,2.97,2.17,Medium
2021-02-06 04:59:47,37.782230350546385,-122.43635476562038,139.58,402.62,-6.77,13.04,11.62,48.43,24.96,72.29,5.87,0.8,Medium
2025-08-19 15:39:27,37.788923269163774,-122.4047082319616,129.59,412.56,45.29,28.07,12.6,38.51,35.62,82.95,0.78,2.48,Medium
2021-11-21 06:30:17,37.78761868096476,-122.40611463288168,115.52,412.01,37.29,20.37,3.92,52.46,30.68,64.7,7.91,0.32,Medium
2025-07-10 08:31:33,37.76857488664155,-122.41409512427464,145.24,388.84,37.33,28.59,4.92,46.33,24.92,69.15,0.93,2.61,Medium
2024-12-04 02:51:11,37.755883476658354,-122.43851505793883,102.65,382.5,53.79,19.47,6.33,63.81,23.47,89.84,4.55,1.35,Medium
2024-11-20 01:46:13,37.76410214732126,-122.43414659494363,140.76,410.77,37.92,17.25,12.65,33.83,32.49,76.02,2.4,2.6,Medium
2023-02-15 11:15:26,37.793627737116594,-122.43197897937188,140.8,370.72,43.49,25.78,9.38,51.08,30.52,42.22,0.81,2.76,Medium
2022-04-14 14:24:29,37.7595923275585,-122.43439256831189,127.99,366.04,31.21,14.07,7.96,29.09,33.95,52.07,4.82,0.03,Low
2021-02-14 14:30:37,37.766566503148375,-122.41160072455493,140.21,414.12,23.4,19.62,7.99,33.42,30.36,73.64,5.82,0.03,Medium
2023-01-02 00:32:40,37.76892507724837,-122.43807187564835,85.5,374.96,31.63,34.38,9.92,39.29,21.35,40.75,6.55,2.12,Low
2025-09-06 08:38:30,37.776551853412045,-122.41103757922195,140.97,414.31,45.74,25.08,11.15,39.65,19.6,84.21,5.7,2.45,Medium
2021-03-09 09:13:10,37.78389306239497,-122.41566885406759,125.52,459.21,29.91,17.17,1.92,50.71,26.67,37.4,2.04,0.06,High
2022-06-05 23:40:58,37.78091302745388,-122.43141830196284,127.62,409.38,31.91,6.65,9.2,51.47,32.85,58.4,3.79,1.11,Medium
2023-12-24 17:48:50,37.778047016342896,-122.42185538323241,130.77,426.97,34.54,18.62,10.65,51.52,36.25,46.59,6.42,1.89,Medium
2020-03-26 07:35:47,37.77897421534648,-122.41409837867094,106.1,360.59,3.68,23.03,7.68,37.64,19.95,57.28,6.13,1.74,Low
2023-02-07 05:16:58,37.76738592226786,-122.42343816215451,140.06,400.42,33.87,7.05,12.64,37.33,35.67,59.31,3.64,1.35,Medium
2023-09-01 04:19:07,37.779585799464165,-122.41112891132458,91.69,381.0,45.16,29.78,11.64,44.1,34.11,67.19,8.75,0.62,Medium
2024-04-18 13:01:08,37.77614678112004,-122.40193577230819,82.75,396.73,22.58,18.48,9.35,39.11,20.97,89.26,9.67,0.01,Medium
2021-09-18 06:30:55,37.77552384114317,-122.41984613678972,126.68,400.23,48.3,11.68,9.84,34.47,37.4,40.16,6.89,1.33,Medium
2024-06-15 01:00:54,37.79404525149602,-122.4244281293144,81.23,416.71,28.8,22.99,9.52,46.98,36.37,68.03,9.44,2.48,Medium
2024-09-26 01:49:05,37.767624462144724,-122.4047424532989,149.53,393.51,30.99,21.65,6.19,41.73,31.01,77.09,9.29,1.31,Medium
2021-02-13 08:22:18,37.78965602502163,-122.42437310992473,100.78,366.49,48.97,30.7,12.76,24.8,28.97,67.81,5.68,1.33,Medium
2025-10-11 02:07:45,37.78060303875789,-122.40902622688309,115.03,426.79,42.47,20.47,8.27,33.19,22.92,61.22,4.25,1.65,Medium
2025-02-12 10:44:20,37.76273111942734,-122.43909748500087,125.32,393.68,39.71,18.49,9.66,44.66,23.14,50.67,3.42,2.41,Medium
2022-08-16 09:35:29,37.78354602696893,-122.42849503997066,108.95,376.24,33.39,18.73,5.09,50.51,28.5,74.0,1.52,1.7,Low
2021-08-04 19:03:53,37.78713970199101,-122.41739093831374,83.04,411.8,36.67,29.65,9.15,42.16,22.24,68.6,4.4,2.52,Medium
2020-10-27 04:03:49,37.784178322703426,-122.40535302956589,127.0,410.03,42.04,25.45,7.27,33.72,21.06,47.94,8.76,1.42,Medium
2024-01-22 15:36:14,37.764109846737114,-122.43115255341925,124.66,418.36,18.77,25.34,3.35,38.82,26.92,74.85,0.65,1.02,Medium
2025-03-04 05:41:31,37.76586642666239,-122.43622322524044,86.0,447.41,21.79,14.31,6.24,43.02,28.38,38.72,8.1,0.7,High
2024-08-06 07:49:02,37.77621831146205,-122.42642664987538,103.31,417.37,58.36,17.92,13.18,45.96,37.15,44.64,7.06,0.6,Medium
2021-09-23 15:11:16,37.766934124334135,-122.40015054502622,113.24,382.98,24.04,17.74,10.6,52.64,22.87,71.94,1.38,0.77,Medium
2020-05-16 11:37:51,37.783249787909725,-122.43795358477901,101.22,380.35,19.03,5.31,9.52,33.97,30.01,63.36,9.23,1.49,Medium
2025-12-05 19:41:11,37.79212380858576,-122.43474534408458,137.22,346.18,46.03,17.68,8.8,48.22,33.8,51.76,1.27,1.21,Medium
2021-11-02 02:17:13,37.7939244080344,-122.41376111690619,137.57,399.37,44.81,31.12,9.67,45.1,25.97,43.05,3.99,0.2,Medium
2021-04-25 14:03:44,37.776881181435805,-122.40076711355387,110.27,367.2,35.77,4.2,5.18,43.56,30.82,46.88,6.39,1.95,Low
2022-03-05 18:33:09,37.76337021402662,-122.42001593651923,132.8,362.6,45.59,10.15,7.22,37.3,31.83,68.99,6.52,0.69,Medium
2024-07-28 19:28:51,37.78112894690247,-122.40547936459002,130.7,385.99,29.81,30.62,4.18,58.45,28.51,61.49,2.18,1.16,Medium
2024-07-02 20:53:37,37.7652925283498,-122.40898840707511,89.6,363.03,37.2,19.88,9.74,46.2,27.09,81.44,1.43,1.46,Low
2023-02-20 15:59:17,37.773940725174754,-122.42436446859416,107.61,375.67,52.65,18.33,5.99,55.4,31.76,59.07,2.92,2.52,Medium
2021-12-08 20:27:10,37.77471808413844,-122.42394604360607,111.51,409.16,31.92,28.09,7.61,38.96,18.76,76.04,6.76,2.41,Medium
2022-08-17 04:19:20,37.770403809259314,-122.42092212253316,149.41,398.1,27.67,29.56,11.73,22.97,34.61,38.78,4.53,0.25,Medium
2023-01-08 07:24:08,37.77017758558612,-122.43117250951218,88.5,433.2,41.67,23.65,14.5,38.56,37.6,68.1,6.03,2.24,High
2023-02-11 09:14:16,37.792023345613046,-122.43041537552624,106.05,423.2,14.15,4.42,9.74,46.48,22.81,41.68,2.38,2.66,Medium
2024-03-26 22:38:48,37.765237264811674,-122.41763933683269,124.52,409.31,54.19,29.0,5.6,47.95,32.56,40.94,7.01,0.28,Medium
2021-03-23 23:43:12,37.77143665797181,-122.40907259955694,132.04,357.06,24.69,21.95,11.01,47.05,26.68,43.85,5.8,2.44,Low
2023-05-03 00:03:39,37.76265815469071,-122.40420734056232,126.03,427.5,24.7,23.46,11.56,35.13,28.77,63.83,8.56,2.52,Medium
2023-01-14 13:56:33,37.785247055604444,-122.4122648470858,132.94,437.17,33.73,29.78,4.79,45.06,25.71,70.39,7.91,0.65,High
2021-05-06 20:53:39,37.762034903372296,-122.43823714478624,91.68,389.6,20.83,27.84,7.23,62.92,20.08,47.4,7.18,0.16,Medium
2021-02-19 18:48:45,37.76085998944597,-122.41158337406688,132.21,402.03,35.98,30.45,5.29,41.97,32.71,47.97,4.03,0.19,Medium
2023-11-15 10:56:59,37.76687774041968,-122.43246079702936,124.63,366.81,34.81,26.8,10.63,48.56,21.31,73.51,6.07,1.76,Low
2025-01-27 12:50:52,37.757145444136654,-122.40529087920497,95.79,401.22,26.7,2.21,-0.14,37.01,36.75,73.83,6.5,0.15,Medium
2021-03-01 23:56:35,37.78552051595965,-122.43304367329323,122.72,409.88,28.12,22.83,8.36,35.24,22.94,84.84,2.87,0.82,Medium
2025-10-25 12:05:43,37.76115527217614,-122.40527641506385,83.26,377.69,47.64,36.27,4.06,34.05,33.44,39.75,2.75,2.2,Medium
2022-04-24 14:47:06,37.770637913862544,-122.4062852649871,135.14,397.39,63.27,13.3,9.83,32.3,36.94,88.2,2.24,0.07,High
2024-04-10 06:21:54,37.77670422113043,-122.40017932711996,95.92,373.16,47.14,1.73,8.72,59.29,30.26,47.44,8.55,1.29,Medium
2024-02-22 15:56:01,37.75880250040957,-122.40492052366382,112.21,378.93,47.04,17.58,8.67,45.72,33.88,62.35,3.73,2.62,Medium
2021-04-14 19:21:14,37.76309525096603,-122.40428679687392,141.57,399.45,30.67,24.09,8.95,44.68,33.44,36.49,1.12,1.39,Medium
2023-01-10 19:34:05,37.769777306716676,-122.42133212723073,107.82,396.82,24.47,15.78,6.46,42.42,33.15,50.2,3.47,1.93,Medium
2025-08-18 09:59:19,37.777212807677174,-122.43275862746334,122.94,381.76,44.47,17.82,8.08,32.17,29.96,36.84,3.96,2.2,Medium
2022-05-04 05:45:53,37.78917495744301,-122.43469424047362,131.78,373.56,34.51,12.62,11.52,36.38,31.74,40.12,0.78,2.47,Low
2021-05-03 08:51:37,37.776531750199425,-122.41099028805506,102.0,409.09,50.81,19.06,1.63,38.92,27.88,80.55,3.68,0.52,Medium
2024-12-24 00:20:34,37.76057887959044,-122.42548234353671,111.52,419.09,50.08,7.85,11.73,43.97,37.58,69.88,1.7,2.03,Medium
2021-03-08 23:27:46,37.76189525748704,-122.40517050964377,95.9,430.63,28.89,26.22,12.13,55.13,28.25,51.79,2.52,0.1,High
2024-05-14 19:13:35,37.78974817929053,-122.40875740893858,135.19,369.7,45.01,22.18,9.95,35.34,26.94,60.32,8.71,1.64,Medium
2022-03-14 19:48:24,37.771757761663174,-122.43831299935636,147.64,403.75,39.66,14.43,10.53,49.95,37.64,69.17,5.81,1.88,Medium
2020-12-19 14:51:13,37.763637727315334,-122.43459011093952,84.78,357.49,41.34,25.96,5.34,38.44,35.54,83.25,3.64,1.02,Medium
2024-01-16 11:34:10,37.79471750064766,-122.4051721562465,116.5,403.72,23.87,21.91,10.93,50.01,35.58,66.45,5.42,1.29,Medium
2023-06-12 13:46:14,37.77897693724061,-122.4036990684018,111.04,440.31,50.78,33.12,10.23,45.75,20.08,56.15,5.13,1.96,High
2021-08-02 22:40:00,37.76565835783306,-122.42312112361462,142.4,359.95,44.68,21.65,7.44,29.07,27.01,61.01,6.41,1.41,Medium
2024-04-24 16:12:37,37.789065439906025,-122.43742012586024,138.33,387.88,44.31,0.93,3.68,40.08,18.89,50.28,8.26,0.85,Medium
2020-08-21 18:58:38,37.77789118217058,-122.4382132710774,127.28,366.43,34.23,15.28,12.44,37.91,35.65,71.9,2.95,2.02,Low
2020-10-07 04:07:24,37.78035605480734,-122.43735458474231,98.03,403.62,27.62,14.33,9.03,36.68,25.38,41.66,4.48,2.25,Medium
2020-12-26 18:14:40,37.79256902846476,-122.41265709413108,127.51,344.77,49.11,6.13,8.62,52.59,35.47,74.82,1.65,2.71,Medium
2025-03-16 07:01:16,37.78269529494704,-122.41810029202252,111.42,395.35,25.78,18.6,3.54,55.48,26.08,39.27,5.65,2.59,Medium
2025-12-12 01:31:02,37.77290493444728,-122.41622934584717,133.15,391.62,34.06,17.24,12.19,75.87,21.31,70.52,0.93,2.29,Medium
2023-03-10 17:27:34,37.768524166663255,-122.4365315244461,108.67,427.76,20.8,6.97,11.82,63.91,20.81,61.71,0.76,1.52,Medium
2022-04-26 13:53:42,37.770419470397876,-122.43299900254146,81.63,388.45,31.89,32.79,9.68,42.05,20.32,87.58,3.48,2.67,Medium
2023-02-28 08:48:28,37.766436217512755,-122.40095458058369,107.26,360.73,21.48,10.45,8.43,62.33,33.24,80.85,4.68,0.91,Low
2024-03-26 16:20:45,37.78199549286075,-122.42999851140785,138.15,455.78,20.1,21.33,8.97,41.42,22.15,78.03,7.48,0.9,High
2025-09-24 18:36:38,37.770705509730575,-122.43782161868435,113.29,361.89,37.89,22.13,13.31,41.38,33.88,50.17,8.83,2.83,Low
2020-03-19 15:43:43,37.785084848863946,-122.41972275599576,101.17,407.0,74.06,10.04,2.56,64.36,30.12,85.53,3.94,2.18,High
2024-11-18 18:46:46,37.77784115805822,-122.40115811425552,94.03,429.15,32.55,18.92,11.01,68.33,36.53,36.05,5.03,2.06,Medium
2022-03-22 09:41:20,37.769248621016686,-122.40722251169282,99.51,404.81,46.44,24.1,10.18,50.16,32.81,42.86,7.66,2.31,Medium
2020-01-04 02:01:39,37.77086400752295,-122.41047402054141,99.62,411.76,12.73,28.77,13.64,37.84,34.84,48.32,5.04,0.44,Medium
2021-08-15 01:38:02,37.78703930973188,-122.40223087785472,108.36,408.4,31.66,25.07,3.38,43.67,30.81,88.84,6.23,1.07,Medium
2020-09-22 16:54:22,37.78957733873408,-122.42124212607567,137.5,451.3,44.82,-0.19,13.4,37.33,23.8,65.98,1.64,2.75,High
2021-12-23 13:33:17,37.78785112360405,-122.41053113789131,99.01,374.15,24.56,18.29,9.68,38.84,32.3,67.64,9.01,1.75,Low
2020-06-05 11:56:28,37.79213549488244,-122.40633141360276,89.1,426.74,37.28,26.87,8.45,43.88,25.55,86.5,6.91,0.35,Medium
2021-01-28 23:54:09,37.76046463395564,-122.42923074465004,141.29,416.03,28.04,13.36,9.15,36.96,36.88,49.79,5.02,1.9,Medium
2024-10-17 04:53:47,37.770304804796105,-122.4047671933911,113.32,407.2,24.99,17.71,8.98,23.35,32.39,55.41,8.76,2.19,Medium
2025-01-04 12:22:44,37.75633754699687,-122.42361062584621,145.16,433.47,39.47,15.3,6.97,64.65,29.58,39.69,0.91,2.0,High
2020-06-22 09:52:43,37.75889467284545,-122.41187822224656,96.93,404.41,35.99,25.27,7.17,54.14,35.55,37.29,4.28,2.29,Medium
2023-01-08 11:26:53,37.75557790659558,-122.40859367152972,136.5,376.29,30.75,15.41,8.31,60.49,24.96,55.45,0.51,0.9,Low
2023-07-04 14:50:08,37.776778530054855,-122.40620947518849,122.43,376.64,27.01,22.5,8.45,38.8,19.19,71.94,6.03,2.97,Low
2024-08-20 17:10:14,37.777351741717936,-122.4083228795869,94.35,460.18,44.22,31.58,4.59,35.61,37.63,64.0,9.11,0.49,High
2022-11-01 16:46:51,37.76839360564068,-122.41040075320304,117.72,404.14,30.4,23.6,8.6,29.29,18.89,57.86,3.37,2.28,Medium
2024-10-21 13:04:05,37.76588815260192,-122.40712138036464,112.18,399.61,8.46,32.27,3.73,42.33,19.0,81.4,9.82,2.38,Medium
2022-12-12 05:40:15,37.780361545870136,-122.41947055998003,108.47,400.78,42.48,18.26,3.53,36.78,31.97,56.74,9.55,2.9,Medium
2024-10-08 03:46:29,37.78052460734196,-122.41273598083814,91.39,432.92,52.81,22.84,7.06,44.99,18.18,54.64,9.3,0.69,High
2022-05-24 09:59:39,37.78882168358406,-122.4102455423092,86.68,389.08,34.21,36.8,7.26,41.42,25.96,85.57,9.94,0.13,Medium
2024-07-17 02:19:19,37.785070598933885,-122.40266294271417,146.57,383.81,12.6,28.06,5.95,52.91,29.28,54.72,6.74,0.72,Medium
2021-10-13 19:51:22,37.7751383163094,-122.43056588868147,82.73,389.82,43.24,20.85,9.75,64.76,28.33,76.73,3.18,1.06,Medium
2021-08-05 20:13:03,37.78782643322835,-122.40384450303985,118.12,360.89,27.12,13.66,10.24,28.75,18.66,69.98,3.96,0.89,Low
2022-05-01 02:46:23,37.78796987072105,-122.43749434970253,130.87,383.68,49.56,20.51,11.93,38.96,23.8,86.21,4.22,1.64,Medium
2020-09-25 21:05:36,37.78382513095531,-122.43137758995708,94.25,398.78,34.66,18.24,6.22,35.34,32.63,70.23,4.45,2.28,Medium
2021-02-05 15:26:50,37.76216455871027,-122.42456235967369,143.14,385.06,52.07,33.91,10.94,45.85,32.19,44.2,7.92,1.75,Medium
2022-10-22 16:03:47,37.76676239648824,-122.41082303343714,133.13,379.79,35.4,12.35,1.07,46.57,36.66,80.51,7.12,2.14,Low
2022-06-01 14:22:57,37.784059242466235,-122.4049323638485,99.19,386.6,41.48,9.61,4.33,55.58,29.24,87.09,5.21,1.14,Medium
2023-04-18 16:18:42,37.78845989310872,-122.43894328066183,129.26,423.44,34.28,23.64,10.32,34.99,34.34,65.05,9.69,0.16,Medium
2020-05-27 15:05:39,37.76207022447631,-122.40739986072946,118.69,375.09,31.64,11.06,4.96,48.77,33.93,48.78,6.44,1.72,Low
2022-03-18 19:15:07,37.756973431964795,-122.4174456533969,100.13,420.25,22.65,9.18,3.43,56.13,32.65,57.25,1.15,2.35,Medium
2025-02-16 08:18:21,37.76819824628595,-122.43713657375413,106.17,404.0,41.02,28.94,12.35,41.4,33.02,40.58,3.14,0.83,Medium
2021-09-25 07:25:28,37.793984169322066,-122.43527514550367,118.34,366.85,35.53,23.03,9.02,32.12,22.09,63.58,1.2,1.82,Low
2021-09-03 15:01:59,37.77688425074123,-122.41180884603007,90.08,370.35,39.14,34.13,6.12,36.14,29.07,70.29,7.19,1.12,Low
2022-10-09 00:31:47,37.77824227869299,-122.41836975121763,97.47,397.72,33.39,11.94,4.11,50.07,36.78,35.37,7.84,1.88,Medium
2025-09-13 00:48:44,37.778217042272175,-122.42927593843281,111.52,397.26,40.97,16.92,9.26,36.36,32.97,85.3,4.62,0.78,Medium
2024-11-09 18:55:27,37.7794316673955,-122.41389247012415,96.94,396.48,28.96,22.11,8.88,42.66,32.77,35.76,2.86,0.64,Medium
2024-11-16 01:39:10,37.77325762066388,-122.41009066100855,122.47,385.5,37.87,24.0,9.42,45.76,22.01,68.92,7.56,2.21,Medium
2025-08-19 13:41:16,37.79173066433854,-122.4160220436097,117.68,418.57,25.57,8.95,8.91,52.22,33.75,59.99,6.49,0.75,Medium
2023-06-26 07:35:49,37.780872892983076,-122.40194877514124,84.48,386.26,45.32,16.9,7.86,45.25,19.12,62.01,9.31,0.32,Medium
2022-06-18 00:37:37,37.759375224661966,-122.41874302447125,135.06,352.01,44.71,24.37,12.08,42.61,18.16,85.85,4.71,1.66,Medium
2020-05-26 19:23:24,37.78802467316026,-122.4307575953502,136.65,414.23,49.79,8.72,5.66,37.61,36.07,39.27,8.37,1.05,Medium
